amount,case_reference,ccd_case_number,service_type,payment_channel,payment_method,payment_link_id,reference,s2s_service_name,fee_amount
25,78af16ca-26d1-4b3c-b5ac-3d006f681ab6,1616447282715264,Civil Money Claims,online,card,289741,RC-1616-4472-8282-3977,cmc_claim_store,null
25,f171d13e-2fd6-44d5-88af-3d8088858ca5,1616447284772651,Civil Money Claims,online,card,289744,RC-1616-4472-8483-8676,cmc_claim_store,null
25,94280d21-2e8f-4971-b8be-0c2a18face2f,1616447287945825,Civil Money Claims,online,card,289748,RC-1616-4472-8807-7784,cmc_claim_store,null
25,ed00d96b-630a-46be-86be-832797025623,1616447290921847,Civil Money Claims,online,card,289751,RC-1616-4472-9100-3538,cmc_claim_store,null
25,d26d9811-a89a-4871-b787-dc7db247b724,1616447327989015,Civil Money Claims,online,card,289792,RC-1616-4473-2806-3505,cmc_claim_store,null
25,9a3521c6-55d8-4ca5-92e4-dba15d673edf,1616447293756596,Civil Money Claims,online,card,289753,RC-1616-4472-9380-7845,cmc_claim_store,null
25,ff471226-ae84-412c-885a-21147c95b556,1616447336749764,Civil Money Claims,online,card,289802,RC-1616-4473-3683-6421,cmc_claim_store,null
25,0d1d613f-e038-46cb-971e-dc35c162b1c5,1616447298113751,Civil Money Claims,online,card,289758,RC-1616-4472-9826-5049,cmc_claim_store,null
25,116326f7-73b9-4b3f-ad49-3dff7e20c29a,1616447301560881,Civil Money Claims,online,card,289762,RC-1616-4473-0186-2378,cmc_claim_store,null
25,6da9c280-de82-4517-9b99-6f6806f5ad12,1616447302179145,Civil Money Claims,online,card,289763,RC-1616-4473-0227-3336,cmc_claim_store,null
25,fc394585-b296-4e4a-a807-c1c0264099df,1616447304178277,Civil Money Claims,online,card,289765,RC-1616-4473-0428-1931,cmc_claim_store,null
25,3aa11d38-a0c7-4bd6-8e1a-ff402920606f,1616447378278730,Civil Money Claims,online,card,289848,RC-1616-4473-7837-0586,cmc_claim_store,null
25,6f0a97c9-6d6c-4f9d-9976-c2aa16364207,1616447311019589,Civil Money Claims,online,card,289773,RC-1616-4473-1149-0228,cmc_claim_store,null
25,3e50797b-a065-48ad-8455-f754113d57cb,1616447358997390,Civil Money Claims,online,card,289827,RC-1616-4473-5906-9942,cmc_claim_store,null
25,a8973d9b-3d3a-4925-9329-23aad43e3383,1616447325516992,Civil Money Claims,online,card,289789,RC-1616-4473-2561-9341,cmc_claim_store,null
25,edd1bcf6-c2fe-4c0c-94f4-f3b2ae58df3c,1616447372188455,Civil Money Claims,online,card,289840,RC-1616-4473-7226-9073,cmc_claim_store,null
25,3a4e44e1-e822-4b47-af57-2fa0c40bdf4d,1616447339360932,Civil Money Claims,online,card,289805,RC-1616-4473-3948-9756,cmc_claim_store,null
25,51bdc162-59b8-4f30-9088-1adacd7cf740,1616447375929426,Civil Money Claims,online,card,289845,RC-1616-4473-7610-5984,cmc_claim_store,null
25,0e2bcd03-d7c9-4273-8e68-429ce31c2619,1616447379149484,Civil Money Claims,online,card,289849,RC-1616-4473-7927-7186,cmc_claim_store,null
25,c67d78e5-d672-44aa-af67-6b95f271e03a,1616447349155835,Civil Money Claims,online,card,289816,RC-1616-4473-4921-3691,cmc_claim_store,null
25,9144aadb-c481-4f68-b7b9-56f5d3809878,1616447368111669,Civil Money Claims,online,card,289836,RC-1616-4473-6822-2078,cmc_claim_store,null
25,c36454e3-7ac6-4def-8ec1-10782366c6e1,1616447320029504,Civil Money Claims,online,card,289783,RC-1616-4473-2019-4936,cmc_claim_store,null
25,88840bed-6227-4bae-8961-533795c8a057,1616447356915238,Civil Money Claims,online,card,289825,RC-1616-4473-5706-2345,cmc_claim_store,null
25,c1d29c84-3196-4422-aadb-7597954fed84,1616447290118592,Civil Money Claims,online,card,289749,RC-1616-4472-9027-0393,cmc_claim_store,null
25,67c6f591-26f9-487c-afc4-a60795f089c9,1616447297408913,Civil Money Claims,online,card,289757,RC-1616-4472-9758-2436,cmc_claim_store,null
25,a6d7ac81-d0fb-4051-af25-abc132885147,1616447397866861,Civil Money Claims,online,card,289869,RC-1616-4473-9818-9230,cmc_claim_store,null
25,dfd955c6-44ce-4352-9d18-7335683b75aa,1616447313344308,Civil Money Claims,online,card,289776,RC-1616-4473-1333-0745,cmc_claim_store,null
25,8846aa23-5c8d-4b6b-908d-61c08d324f7c,1616447328695348,Civil Money Claims,online,card,289793,RC-1616-4473-2870-3001,cmc_claim_store,null
25,4217d45a-b38e-424c-98e4-81698213a55c,1616447333443098,Civil Money Claims,online,card,289798,RC-1616-4473-3351-1761,cmc_claim_store,null
25,b9dd854e-6942-4faa-b87c-137a97160c5f,1616447336654857,Civil Money Claims,online,card,289801,RC-1616-4473-3671-6649,cmc_claim_store,null
25,e62f23b4-4c31-4486-888e-97ac01a05c23,1616447388586023,Civil Money Claims,online,card,289859,RC-1616-4473-8861-4403,cmc_claim_store,null
25,1220b218-4310-4991-b51a-e45d72f91b7b,1616447338168955,Civil Money Claims,online,card,289804,RC-1616-4473-3822-7454,cmc_claim_store,null
