amount,case_reference,ccd_case_number,service_type,payment_channel,payment_method,payment_link_id,reference,s2s_service_name,fee_amount
105,c7ad82e0-fb1a-479b-a598-4b29726dfca5,1623361127904655,Civil Money Claims,online,card,313521,RC-1623-3611-2806-9581,cmc_claim_store,null
25,8e6bc775-10e9-4c14-b7cc-5a1c045e631b,1616459578519797,Civil Money Claims,online,card,299887,RC-1616-4595-7862-3771,cmc_claim_store,null
25,eea54d8e-e824-4ceb-9bb6-19f2bb2dd163,1616459521834954,Civil Money Claims,online,card,299824,RC-1616-4595-2196-8844,cmc_claim_store,null
25,67f6825c-e084-4998-993a-3bee5957adbc,1616459453210264,Civil Money Claims,online,card,299747,RC-1616-4594-5337-2015,cmc_claim_store,null
25,ce2115bf-9558-494c-9e7d-7c34840e1412,1616459411702097,Civil Money Claims,online,card,299702,RC-1616-4594-1186-1463,cmc_claim_store,null
25,3e9e6304-ac35-4dce-8ee7-f4787542f403,1616459414099970,Civil Money Claims,online,card,299704,RC-1616-4594-1419-4979,cmc_claim_store,null
25,174a9297-a9d3-482b-a8c8-f33c9ec6cd2a,1616459417133230,Civil Money Claims,online,card,299708,RC-1616-4594-1728-3894,cmc_claim_store,null
25,467dee24-8e80-4f14-b88e-0afc8dd7b027,1616459481798397,Civil Money Claims,online,card,299780,RC-1616-4594-8188-1300,cmc_claim_store,null
25,e02b6cb3-e2b9-49fd-a47a-53f06b086528,1616459425743806,Civil Money Claims,online,card,299717,RC-1616-4594-2611-5749,cmc_claim_store,null
25,3872c9b2-3044-49ce-a2dd-a83ed6bc93f7,1616459435142668,Civil Money Claims,online,card,299726,RC-1616-4594-3526-9982,cmc_claim_store,null
25,ae9d59f1-4786-4a68-bd6d-aa8fe27f30b7,1616459492094364,Civil Money Claims,online,card,299791,RC-1616-4594-9216-0942,cmc_claim_store,null
25,a8ab2cac-30ac-4197-9db9-baa3e4e815db,1616459463923997,Civil Money Claims,online,card,299758,RC-1616-4594-6402-0140,cmc_claim_store,null
25,4fc184f7-ed23-4fc8-a851-4d08a36fc89a,1616459466768019,Civil Money Claims,online,card,299763,RC-1616-4594-6680-9086,cmc_claim_store,null
25,f15975e5-77b4-4fc6-a71c-351c9b78d9bc,1616459471531105,Civil Money Claims,online,card,299769,RC-1616-4594-7169-5744,cmc_claim_store,null
25,4b5fcfea-2033-4423-b7be-94ef8b63d4df,1616459563133851,Civil Money Claims,online,card,299868,RC-1616-4595-6326-9499,cmc_claim_store,null
25,5937e6a2-0690-4936-9fd2-1fae4c1ca289,1616459479681795,Civil Money Claims,online,card,299778,RC-1616-4594-7971-7128,cmc_claim_store,null
25,b9ff738e-35e8-49a3-8285-3b60d392ba86,1616459480751983,Civil Money Claims,online,card,299779,RC-1616-4594-8084-9563,cmc_claim_store,null
25,97649ee5-8526-473e-b257-b6348c44ca75,1616459506404963,Civil Money Claims,online,card,299808,RC-1616-4595-0650-2576,cmc_claim_store,null
25,a030fcfb-3360-4d5c-b023-1cadc04bac4d,1616459541609253,Civil Money Claims,online,card,299846,RC-1616-4595-4171-0994,cmc_claim_store,null
25,2ec71fab-07c9-431a-ab0d-6d12456661e5,1616459540040658,Civil Money Claims,online,card,299845,RC-1616-4595-4018-5966,cmc_claim_store,null
25,b1595d5e-ec28-44fc-aff8-6f7a7662fba8,1616459574835957,Civil Money Claims,online,card,299883,RC-1616-4595-7497-7585,cmc_claim_store,null
25,dcbdf93c-4981-494d-b755-3a69fbdaed33,1616459595592967,Civil Money Claims,online,card,299906,RC-1616-4595-9563-1369,cmc_claim_store,null
25,6ffaa5bd-ec3e-41ef-bbf2-51e22a22dbb8,1616459554358715,Civil Money Claims,online,card,299858,RC-1616-4595-5441-2264,cmc_claim_store,null
25,9ea06f65-08d7-48e4-b144-cf3e37fc8cf8,1616459564789412,Civil Money Claims,online,card,299871,RC-1616-4595-6486-8711,cmc_claim_store,null
25,c5f048f3-ea39-4e64-90d3-090fc9cfb5b3,1616459572803072,Civil Money Claims,online,card,299880,RC-1616-4595-7295-8405,cmc_claim_store,null
105,6210b7f3-1b8d-456d-8a23-384cfb0fac92,1623361119353192,Civil Money Claims,online,card,313519,RC-1623-3611-1941-8920,cmc_claim_store,null
25,c105ad7d-96f2-45ad-aa2b-c257452d5b82,1616459509019784,Civil Money Claims,online,card,299810,RC-1616-4595-0915-0506,cmc_claim_store,null
25,8e3cdc9f-5765-4213-bc62-ef677a6ef6fa,1616459443790748,Civil Money Claims,online,card,299735,RC-1616-4594-4386-9955,cmc_claim_store,null
25,6c0b01be-a787-4def-bdae-76a0f965706a,1616459478722236,Civil Money Claims,online,card,299777,RC-1616-4594-7888-4515,cmc_claim_store,null
25,362e43c1-4831-4d21-a691-a32c8e89396b,1616459487313845,Civil Money Claims,online,card,299786,RC-1616-4594-8752-3799,cmc_claim_store,null
25,a6a24b5a-ee3b-4178-9cdc-9b2ccbd0db6f,1616459413362940,Civil Money Claims,online,card,299703,RC-1616-4594-1345-6379,cmc_claim_store,null
25,ca50346b-65cb-4a59-b00b-ff078f247990,1616459414737843,Civil Money Claims,online,card,299705,RC-1616-4594-1488-9677,cmc_claim_store,null
25,1fbe9381-ee8c-4ca6-a0ff-24be28090a2b,1616459419538824,Civil Money Claims,online,card,299712,RC-1616-4594-1976-3315,cmc_claim_store,null
25,8edd622a-6b16-4768-bb24-7d601e65cf67,1616459495013973,Civil Money Claims,online,card,299795,RC-1616-4594-9536-7239,cmc_claim_store,null
25,cae01b15-acd2-41d9-bcb3-ce4cf56205dc,1616459428444014,Civil Money Claims,online,card,299719,RC-1616-4594-2857-2160,cmc_claim_store,null
25,c5e721e1-c72d-4e73-ae52-be1789f52ec3,1616459430416869,Civil Money Claims,online,card,299722,RC-1616-4594-3050-0563,cmc_claim_store,null
25,ff4f975e-4f79-4c2d-afff-54cda7f87889,1616459471443764,Civil Money Claims,online,card,299768,RC-1616-4594-7152-8804,cmc_claim_store,null
